Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Location,Bin name,Incoming (not editable),Unavailable (not editable),Committed (not editable),Available (not editable),On hand (current),On hand (new)
chicken-farm-meal,Chicken & Rice Farm Meal,Title,Default Title,,,,,"",,,768 Alexander Rd.,,0,0,3,9892,9895,
turkey-farm-meal-copy,Turkey & Sweet Potato Farm Meal,Title,Default Title,,,,,"",,,768 Alexander Rd.,,0,0,0,9854,9854,
beef-farm-meal-copy-copy,Beef & Rice Farm Meal,Title,Default Title,,,,,"",,,768 Alexander Rd.,,0,0,0,9881,9881,
duck-bars-2,Duck Bars - Natural Dog Treat,Title,Default Title,,,,,"",,,768 Alexander Rd.,,0,0,0,17,17,
venison-sausages,Venison Sausages,Title,Default Title,,,,,"",,,768 Alexander Rd.,,0,0,0,17,17,
prince-jax-stew-2,Prince Jax Stew,Title,Default Title,,,,,"",,,768 Alexander Rd.,,0,0,0,959,959,
bone-veggie-broths-2,Bone & Veggie Broth,Title,Default Title,,,,,"",,,768 Alexander Rd.,,0,0,0,9936,9936,
chicken-superfood-cakes,Chicken Superfood Cakes,Title,Default Title,,,,,"",,,768 Alexander Rd.,,0,0,0,72,72,
pup-a-loaf,Pup-a-loaf,Title,Default Title,,,,,"",,,768 Alexander Rd.,,0,0,0,45,45,
beef-freeze-dried-topper,Beef Superfood Topper,Title,Default Title,,,,,"",,,768 Alexander Rd.,,0,0,0,13,13,
chicken-superfood-topper,Chicken Superfood Topper,Title,Default Title,,,,,"",,,768 Alexander Rd.,,0,0,0,15,15,
lamb-superfood-topper,Lamb Superfood Topper,Title,Default Title,,,,,"",,,768 Alexander Rd.,,0,0,0,19,19,
salmon-superfood-topper,Salmon Superfood Topper,Title,Default Title,,,,,"",,,768 Alexander Rd.,,0,0,0,16,16,
lamb-chews-natural-dog-treat,Lamb Chips - Natural Dog Treat,Title,Default Title,,,,,"",,,768 Alexander Rd.,,0,0,0,5,5,
beet-bites-natural-dog-treat,Beet Bites - Natural Dog Treat,Title,Default Title,,,,,"",,,768 Alexander Rd.,,0,0,0,28,28,
apple-chicken-smart-bites,Apple & Chicken Smart Bites - Superfood Treat,Title,Default Title,,,,,"",,,768 Alexander Rd.,,0,0,0,26,26,
spinach-mozzarella-kale-probiotics,"Spinach, Mozzarella, Kale & Probiotics - Superfood Treat",Title,Default Title,,,,,"",,,768 Alexander Rd.,,0,0,0,17,17,
turmeric-eggs-bacon-superfood-dog-treat,"Turmeric, Eggs & Bacon - Superfood Dog Treat",Title,Default Title,,,,,"",,,768 Alexander Rd.,,0,0,0,12,12,
meatball-dog-treats,Meatball Dog Treats,Title,Default Title,,,,,"",,,768 Alexander Rd.,,0,0,0,4,4,
low-protein-diet-atlantic-salmon,Low Protein Diet - Atlantic Salmon ( Pre-Order Only),Title,Default Title,,,,,"",,,768 Alexander Rd.,,0,0,0,12,12,
beef-farm-meal-copy,Beef & Sweet Potato Farm Meal,Title,Default Title,,,,,,,,768 Alexander Rd.,,0,0,0,9891,9891,
turkey-farm-meal-copy-1,Turkey & Rice Farm Meal,Title,Default Title,,,,,,,,768 Alexander Rd.,,0,0,0,9918,9918,
chicken-farm-meal-copy,Chicken & Sweet Potato Farm Meal,Title,Default Title,,,,,,,,768 Alexander Rd.,,0,0,0,9908,9908,
trio,November Trio,Title,Default Title,,,,,"",,,768 Alexander Rd.,,0,0,0,0,0,
